Tag,Species,Site,Captured Session 1,Captured Session 2,Captured Session 3,Captured Session 4,Captured Session 5,Captured Session 6,Captured Session 7
826,Mouse,MidA,0,0,0,0,1,1,1
866,Mouse,MidA,1,1,0,0,1,1,1
899,Chip,MidA,1,1,1,1,1,1,1
925,Mouse,MidA,0,0,1,0,0,0,1
927,Mouse,MidA,0,0,0,0,1,0,0
947,Mouse,MidA,1,1,1,0,0,0,0
974,Mouse,MidA,0,0,1,0,1,0,0
997,Mouse,MidA,0,0,0,0,1,1,1
998,Mouse,MidA,1,0,1,0,1,0,0
829,Mouse,MidB,0,0,1,0,1,0,.
859,Vole,MidB,0,0,0,0,1,0,.
861,Vole,MidB,0,0,0,1,0,0,.
862,Mouse,MidB,0,0,1,0,1,0,.
863,Mouse,MidB,1,0,1,0,1,1,.
864,Mouse,MidB,1,1,0,0,1,0,.
920,Vole,MidB,0,0,1,1,1,1,.
921,Vole,MidB,0,1,0,0,0,0,.
977,Mouse,MidB,0,0,1,0,1,1,.
995,Mouse,MidB,1,0,1,0,1,1,.
996,Vole,MidB,1,0,1,0,0,0,.
1005,Mouse,MidB,0,0,1,0,0,0,.
841,Mouse,MidC,1,0,1,0,0,0,1
842,Mouse,MidC,1,0,0,0,1,0,1
844,Mouse,MidC,0,0,1,0,1,0,1
855,Mouse,MidC,1,0,1,1,1,0,1
856,Mouse,MidC,1,0,1,1,0,0,1
857,Mouse,MidC,1,0,0,0,1,0,1
878,Mouse,MidC,0,0,0,0,1,0,1
881,Mouse,MidC,0,0,0,0,1,0,1
907,Mouse,MidC,0,0,1,0,1,0,0
919,Mouse,MidC,1,1,1,0,1,0,1
931,Mouse,MidC,0,0,1,0,1,0,1
934,Mouse,MidC,0,0,1,0,1,1,1
936,Mouse,MidC,0,0,1,0,1,0,1
972,Vole,MidC,1,0,0,0,1,0,0
976,Mouse,MidC,1,0,1,0,0,0,1
1007,Vole,MidC,0,0,0,0,0,0,1
1008,Vole,MidC,0,0,0,0,0,0,1
1009,Mouse,MidC,0,0,0,0,0,0,1
1010,Mouse,MidC,0,0,0,0,0,0,1
889,Mouse,MidD,1,0,1,0,1,0,1
890,Mouse,MidD,1,0,1,1,1,1,1
891,Mouse,MidD,1,1,1,0,1,0,1
892,Chip,MidD,1,1,0,1,1,0,0
893,Mouse,MidD,0,0,1,1,1,1,1
894,Mouse,MidD,0,0,1,0,1,1,1
898,Chip,MidD,0,0,0,1,0,0,0
901,Chip,MidD,1,1,0,1,0,0,0
930,Chip,MidD,0,0,0,0,1,0,0
945,Chip,MidD,1,1,0,1,1,0,0
965,Vole,MidD,0,1,0,0,1,0,1
984,Mouse,MidD,1,0,1,0,1,1,1
1014,Mouse,MidD,0,0,0,0,0,0,1
1015,Mouse,MidD,0,0,0,0,0,0,1
702,Chip,MidE,1,1,1,1,0,1,0
707,Chip,MidE,0,0,0,0,0,1,0
709,Mouse,MidE,0,0,0,0,1,0,1
710,Mouse,MidE,0,0,1,0,1,0,1
711,Mouse,MidE,0,0,0,0,1,0,0
712,Chip,MidE,1,1,0,1,0,1,1
715,Chip,MidE,1,1,1,1,1,1,1
717,Vole,MidE,0,0,1,0,1,0,0
721,Mouse,MidE,1,0,1,0,1,0,1
724,Mouse,MidE,1,0,1,0,1,0,1
730,Vole,MidE,0,0,0,1,0,0,0
735,Vole,MidE,0,1,0,0,0,0,0
737,Mouse,MidE,1,0,0,0,0,0,0
742,Chip,MidE,0,0,0,0,0,1,1
757,Mouse,MidE,0,0,0,0,1,0,0
764,Mouse,MidE,1,0,1,0,1,0,1
765,Mouse,MidE,0,0,1,0,1,0,1
766,Vole,MidE,0,0,1,0,0,0,1
768,Mouse,MidE,0,0,0,0,1,0,1
770,Mouse,MidE,0,0,1,0,1,0,1
776,Mouse,MidE,0,0,0,0,1,0,1
779,Mouse,MidE,1,0,1,0,1,0,0
791,Mouse,MidE,0,0,0,0,1,0,1
796,Chip,MidE,0,0,0,0,0,1,1
928,Chip,MidE,0,0,1,1,1,1,1
939,Mouse,MidE,0,0,0,0,1,0,0
952,Mouse,MidE,0,0,1,0,0,0,0
966,Mouse,MidE,0,0,1,0,1,0,1
2008,Mouse,MidE,0,0,0,0,0,0,1
2009,Mouse,MidE,0,0,0,0,0,0,1
2010,Mouse,MidE,0,0,0,0,0,0,1
2025,Mouse,MidE,0,0,0,0,0,0,1
2026,Mouse,MidE,0,0,0,0,0,0,1
2027,Mouse,MidE,0,0,0,0,0,0,1
2028,Mouse,MidE,0,0,0,0,0,0,1
2059,Mouse,MidE,0,0,0,0,0,0,1
501,Mouse,MidF,0,0,1,0,1,0,1
502,Mouse,MidF,0,0,1,0,1,0,1
503,Mouse,MidF,0,0,1,0,0,0,1
504,Mouse,MidF,0,0,1,0,0,0,1
505,Mouse,MidF,0,0,1,1,1,0,1
506,Mouse,MidF,0,0,1,0,1,1,0
507,Mouse,MidF,0,0,1,0,0,0,0
508,Mouse,MidF,0,0,1,0,0,0,1
509,Mouse,MidF,0,0,1,0,0,0,0
510,Mouse,MidF,0,0,0,0,1,0,0
511,Mouse,MidF,0,0,0,0,1,0,0
512,Mouse,MidF,0,0,0,0,1,0,0
513,Mouse,MidF,0,0,0,0,1,0,0
514,Chip,MidF,0,0,0,0,0,1,0
515,Vole,MidF,0,0,0,0,0,1,0
602,Mouse,MidF,1,0,1,0,1,0,0
603,Mouse,MidF,1,0,1,0,1,1,1
604,Mouse,MidF,1,0,1,0,0,0,1
605,Mouse,MidF,1,0,1,1,1,0,1
606,Mouse,MidF,1,0,1,0,1,1,1
607,Mouse,MidF,1,1,1,1,1,1,1
608,Mouse,MidF,1,0,0,0,1,0,1
609,Mouse,MidF,1,0,1,0,1,0,1
610,Mouse,MidF,1,1,1,0,0,0,1
611,Mouse,MidF,1,0,0,0,1,0,1
612,Mouse,MidF,1,1,1,1,1,0,1
613,Mouse,MidF,1,0,0,0,0,0,0
614,Mouse,MidF,1,0,1,1,0,0,0
615,Mouse,MidF,1,0,1,0,1,1,1
616,Mouse,MidF,1,0,1,0,1,1,1
617,Mouse,MidF,1,0,1,1,1,1,0
618,Mouse,MidF,1,0,1,1,0,0,1
619,Vole,MidF,0,1,0,0,0,0,0
620,Vole,MidF,0,0,1,0,1,1,0
621,Mouse,MidF,0,0,1,0,1,0,1
622,Mouse,MidF,0,0,1,0,0,0,0
623,Mouse,MidF,0,0,1,1,1,1,1
624,Mouse,MidF,0,0,1,0,0,0,0
625,Mouse,MidF,0,0,1,0,1,1,1
626,Mouse,MidF,0,0,1,0,1,0,1
627,Mouse,MidF,0,0,1,0,0,0,0
628,Mouse,MidF,0,0,1,0,1,0,1
629,Mouse,MidF,0,0,0,0,1,0,0
653,Chip,MidF,1,1,0,1,1,1,1
654,Mouse,MidF,1,0,1,0,1,1,1
655,Mouse,MidF,1,0,1,1,1,0,1
656,Mouse,MidF,1,0,0,0,1,1,1
657,Mouse,MidF,1,0,0,0,1,0,1
658,Mouse,MidF,1,1,0,1,1,1,1
659,Mouse,MidF,1,0,1,0,1,0,1
660,Mouse,MidF,1,0,1,1,0,0,1
661,Mouse,MidF,1,1,1,0,1,1,1
662,Mouse,MidF,1,1,1,0,1,0,1
663,Mouse,MidF,1,0,1,1,0,0,1
664,Mouse,MidF,1,0,0,0,1,0,0
665,Mouse,MidF,1,0,0,0,0,0,1
666,Mouse,MidF,1,0,1,0,1,0,1
667,Mouse,MidF,1,1,1,0,0,1,1
668,Mouse,MidF,1,1,0,0,1,0,0
670,Mouse,MidF,1,1,1,1,1,1,1
671,Mouse,MidF,0,1,0,0,1,1,0
672,Mouse,MidF,0,0,1,0,1,0,1
673,Mouse,MidF,0,0,1,0,0,0,1
675,Mouse,MidF,0,0,1,0,1,0,0
694,Chip,MidF,1,1,1,1,1,1,0
695,Mouse,MidF,1,0,1,0,1,0,0
696,Mouse,MidF,1,1,1,1,1,0,1
697,Mouse,MidF,1,0,1,0,1,0,1
698,Mouse,MidF,1,0,1,0,1,0,1
699,Mouse,MidF,1,0,1,0,0,0,0
700,Mouse,MidF,1,0,1,0,1,0,1
2012,Mouse,MidF,0,0,0,0,0,0,1
2013,Mouse,MidF,0,0,0,0,0,0,1
2038,Mouse,MidF,0,0,0,0,0,0,1
2039,Mouse,MidF,0,0,0,0,0,0,1
2040,Mouse,MidF,0,0,0,0,0,0,1
2041,Mouse,MidF,0,0,0,0,0,0,1
2042,Mouse,MidF,0,0,0,0,0,0,1
426,Mouse,MidG,0,0,0,0,1,0,1
427,Mouse,MidG,1,0,1,0,1,0,1
428,Mouse,MidG,1,0,1,0,1,0,0
429,Mouse,MidG,1,0,1,0,1,0,0
430,Mouse,MidG,1,0,1,0,0,0,0
431,Mouse,MidG,1,0,1,1,1,0,1
432,Mouse,MidG,1,0,1,0,1,0,1
433,Mouse,MidG,1,0,1,0,1,0,1
434,Mouse,MidG,1,0,1,0,1,0,1
435,Mouse,MidG,1,0,1,0,1,0,0
436,Mouse,MidG,1,0,0,0,1,0,1
437,Mouse,MidG,1,0,1,0,1,0,1
438,Vole,MidG,1,0,0,0,0,1,0
439,Mouse,MidG,1,0,1,0,1,0,0
440,Mouse,MidG,1,0,1,0,1,0,1
441,Mouse,MidG,1,0,1,0,1,0,1
442,Mouse,MidG,1,0,1,0,1,0,1
443,Mouse,MidG,0,0,1,0,1,0,0
444,Mouse,MidG,0,0,1,0,1,0,1
445,Chip,MidG,0,0,0,1,0,1,0
446,Chip,MidG,0,0,0,0,0,1,0
448,Mouse,MidG,0,0,1,0,1,0,1
469,Mouse,MidG,0,0,0,0,1,0,1
470,Mouse,MidG,0,0,0,0,1,0,1
471,Mouse,MidG,0,0,0,0,1,0,1
476,Mouse,MidG,1,0,1,0,1,0,0
477,Mouse,MidG,1,0,1,0,1,0,1
478,Mouse,MidG,1,0,0,0,1,0,0
479,Mouse,MidG,1,0,1,0,1,0,1
480,Mouse,MidG,1,0,1,0,1,0,1
481,Mouse,MidG,1,0,1,0,1,0,1
482,Mouse,MidG,1,0,1,0,1,0,0
483,Mouse,MidG,1,0,1,1,0,0,1
485,Mouse,MidG,1,0,1,0,0,0,0
486,Mouse,MidG,1,0,0,0,1,1,1
487,Mouse,MidG,0,0,1,0,0,0,1
488,Vole,MidG,0,0,1,0,0,0,0
489,Mouse,MidG,0,0,1,0,0,0,0
490,Mouse,MidG,0,0,0,0,1,0,0
491,Mouse,MidG,0,0,0,0,1,0,0
573,Mouse,MidG,1,0,1,0,0,0,1
574,Mouse,MidG,1,0,1,0,1,0,0
575,Mouse,MidG,1,0,1,0,1,0,1
2016,Mouse,MidG,0,0,0,0,0,0,1
2017,Mouse,MidG,0,0,0,0,0,0,1
2049,Mouse,MidG,0,0,0,0,0,0,1
2050,Mouse,MidG,0,0,0,0,0,0,1
2051,Mouse,MidG,0,0,0,0,0,0,1
2052,Mouse,MidG,0,0,0,0,0,0,1
2064,Mouse,MidG,0,0,0,0,0,0,1
2214,Chip,MidG,0,0,0,0,0,0,1
2215,Chip,MidG,0,0,0,0,0,0,1
2216,Chip,MidG,0,0,0,0,0,0,1
824,Mouse,YoungA,1,0,1,0,0,0,0
825,Vole,YoungA,1,0,1,0,0,1,0
867,Mouse,YoungA,0,0,0,0,1,0,1
869,Vole,YoungA,0,0,0,1,1,1,0
871,Vole,YoungA,0,0,1,0,1,0,1
872,Vole,YoungA,0,1,0,0,0,0,0
874,Vole,YoungA,1,0,1,0,0,0,1
875,Vole,YoungA,0,0,0,0,1,1,1
900,Vole,YoungA,1,0,0,0,1,1,0
922,Vole,YoungA,0,0,0,1,0,0,0
923,Mouse,YoungA,0,0,1,0,0,0,1
924,Mouse,YoungA,0,0,1,0,0,0,0
949,Vole,YoungA,0,0,0,0,0,1,0
956,Vole,YoungA,0,0,0,0,0,1,0
975,Vole,YoungA,0,0,0,0,0,1,0
999,Vole,YoungA,0,0,0,1,0,1,0
1000,Mouse,YoungA,0,0,1,0,1,0,1
1001,Vole,YoungA,0,0,1,0,0,0,0
1002,Vole,YoungA,0,0,0,0,0,0,1
1003,Mouse,YoungA,0,0,0,0,0,0,1
1004,Mouse,YoungA,0,0,0,0,0,0,1
858,Mouse,YoungB,1,0,1,0,1,.,.
946,Mouse,YoungB,1,1,1,0,1,.,.
951,Mouse,YoungB,1,0,1,0,1,.,.
802,Chip,YoungC,0,0,0,1,0,1,0
803,Mouse,YoungC,1,0,0,0,0,0,0
810,Mouse,YoungC,0,0,1,0,0,0,1
814,Mouse,YoungC,1,0,1,0,1,0,0
830,Mouse,YoungC,0,0,0,0,1,0,0
832,Mouse,YoungC,1,0,1,1,1,1,0
833,Chip,YoungC,0,0,0,1,0,1,0
835,Mouse,YoungC,1,0,1,0,1,0,0
843,Chip,YoungC,0,0,0,0,1,0,0
846,Mouse,YoungC,1,0,1,0,1,0,0
883,Mouse,YoungC,0,0,1,0,1,0,1
884,Chip,YoungC,0,1,0,0,0,0,0
886,Mouse,YoungC,0,0,0,0,1,0,0
