"","Site","mouse_den","mouse_se","mouse_low","mouse_up","vole_den","vole_se","vole_low","vole_up","chip_den","chip_se","chip_low","chip_up","total_den","total_se","total_low","total_up","MouseProp2","VoleProp2","ChipProp2","TotProp2","MouseInd","VoleInd","ChipInd","TotInd","mouseMNA_1","mouseMNA_2","mouseMNA_3","mouseMNA_4","mouseMNA_5","mouseMNA_6","mouseMNA_7","voleMNA_1","voleMNA_2","voleMNA_3","voleMNA_4","voleMNA_5","voleMNA_6","voleMNA_7","chipMNA_1","chipMNA_2","chipMNA_3","chipMNA_4","chipMNA_5","chipMNA_6","chipMNA_7","totMNA_1","totMNA_2","totMNA_3","totMNA_4","totMNA_5","totMNA_6","totMNA_7","mouseCPUE_1","mouseCPUE_2","mouseCPUE_3","mouseCPUE_4","mouseCPUE_5","mouseCPUE_6","mouseCPUE_7","voleCPUE_1","voleCPUE_2","voleCPUE_3","voleCPUE_4","voleCPUE_5","voleCPUE_6","voleCPUE_7","chipCPUE_1","chipCPUE_2","chipCPUE_3","chipCPUE_4","chipCPUE_5","chipCPUE_6","chipCPUE_7","totCPUE_1","totCPUE_2","totCPUE_3","totCPUE_4","totCPUE_5","totCPUE_6","totCPUE_7","nights_1","nights_2","nights_3","nights_4","nights_5","nights_6","nights_7"
"1","MidC",10.5,2.7,6.4,17.2,6.5,5,1.7,24.7,0,NA,NA,NA,12.5,3,7.8,20,0.54,0,0.03,0.56,1.65,0,0.03,1.31,7,7,12,12,14,14,16,1,1,1,1,1,1,3,0,0,0,0,0,0,0,8,8,13,13,15,15,19,7,4,6,5,6.2,5.33333333333333,6.71428571428571,1,0.5,0.333333333333333,0.25,0.4,0.333333333333333,0.571428571428571,0,0,0,0,0,0,0,8,4.5,6.33333333333333,5.25,6.6,5.66666666666667,7.28571428571429,1,2,3,4,5,6,7
"2","MidD",4.8,1.7,2.4,9.5,2.5,2.9,0.4,15.3,2,1,0.8,4.9,8.2,2.3,4.8,14,0.47,0,0.36,0.67,0.88,0,0.57,1.33,4,4,6,6,6,6,8,0,1,1,1,1,1,1,3,3,3,4,5,5,5,7,8,10,11,12,12,14,4,2.5,3.66666666666667,3.25,3.8,3.83333333333333,4.42857142857143,0,0.5,0.333333333333333,0.25,0.4,0.333333333333333,0.428571428571429,3,3,2,2.5,2.6,2.16666666666667,1.85714285714286,7,6,6,6,6.8,6.33333333333333,6.71428571428571,1,2,3,4,5,6,7
"3","MidE",19.7,4.3,12.9,30,5.7,3.7,1.8,18.3,1.9,0.8,0.9,4,23,4.1,16.3,32.4,0.7,0.15,0.325,0.8375,2.56,1.46,0.49,2.68,5,5,10,10,17,17,25,0,1,3,4,4,4,4,3,3,4,4,4,7,7,8,9,17,18,25,28,36,5,2.5,4.66666666666667,3.5,5.8,4.83333333333333,6.85714285714286,0,0.5,1,1,1,0.833333333333333,0.857142857142857,3,3,3,3.25,3,3.66666666666667,3.85714285714286,8,6,8.66666666666667,7.75,9.8,9.33333333333333,11.5714285714286,1,2,3,4,5,6,7
"4","MidF",39.4,4.7,31.1,49.8,5.2,3.8,1.4,18.7,0.8,0.5,0.3,2.4,39.3,4.6,31.3,49.4,0.925,0.025,0.225,0.941666666666667,8.83,0.1,0.33,5.2,39,40,60,60,65,65,72,0,1,2,2,2,3,3,2,2,2,2,2,3,3,41,43,64,64,69,71,78,39,25,33.3333333333333,28.5,32,29.3333333333333,32.4285714285714,0,0.5,0.666666666666667,0.5,0.6,0.833333333333333,0.714285714285714,2,2,1.66666666666667,1.75,1.8,2,1.85714285714286,41,27.5,35.6666666666667,30.75,34.4,32.1666666666667,35,1,2,3,4,5,6,7
"5","OldA",10.8,2.6,6.8,17.2,1.3,1,0.4,4.8,1.7,0.8,0.7,4,13.7,2.8,9.2,20.4,0.46,0.05,0.19,0.54,1.75,1.05,0.31,1.68,8,8,12,12,16,16,18,1,2,2,2,2,2,2,0,2,2,4,4,4,5,9,12,16,18,22,22,25,8,4.5,6.33333333333333,5.5,7,6.5,7.42857142857143,1,1,1.33333333333333,1.5,1.4,1.33333333333333,1.14285714285714,0,1,1.33333333333333,1.75,2,2.16666666666667,2.28571428571429,9,6.5,9,8.75,10.4,10,10.8571428571429,1,2,3,4,5,6,7
"6","OldB",6.2,2,3.3,11.5,8.9,3.3,4.4,17.9,4,1.2,2.2,7.1,18.8,3.3,13.3,26.5,0.407142857142857,0.0428571428571429,0.364285714285714,0.65,1.1,0.29,0.57,1.42,6,6,8,8,9,9,10,2,2,5,6,9,10,10,2,8,11,13,13,14,14,10,16,24,27,31,33,34,6,4,5,4,4.8,4,4.57142857142857,2,1.5,2,1.75,2.2,2.16666666666667,2.14285714285714,2,5,5.66666666666667,7,6.6,7.33333333333333,6.57142857142857,10,10.5,12.6666666666667,12.75,13.6,13.5,13.2857142857143,1,2,3,4,5,6,7
"7","OldC",5.5,2.9,2.1,14.4,1,NA,NA,NA,2.1,1.5,0.6,7.3,10.4,4.1,4.9,22,0.17,0.06,0.09,0.29,0.32,0.39,0.13,0.56,4,4,4,4,5,5,5,0,0,1,1,1,1,1,1,2,3,3,3,3,3,5,6,8,8,9,9,9,4,2,2.66666666666667,2.75,3,3,3,0,0,0.333333333333333,0.25,0.2,0.2,0.2,1,1,1,1.25,1,1,1,5,3,4,4.25,4.2,4.2,4.2,1,2,3,4,5,5,5
"8","OldD",32.3,4.4,24.7,42.2,0,NA,NA,NA,3.1,1.1,1.6,6,35.5,4.5,27.7,45.4,0.821052631578947,0.0105263157894737,0.526315789473684,0.894736842105263,3.91,0.07,0.94,3.67,31,31,42,42,49,49,56,0,0,0,0,0,0,0,3,4,6,8,8,11,11,34,35,48,50,57,60,67,31,17,23,19,21.4,20.1666666666667,21.7142857142857,0,0,0,0,0,0,0,3,3.5,4,4.5,4.6,5.33333333333333,5.28571428571429,34,20.5,27,23.5,26,25.5,27,1,2,3,4,5,6,7
"9","OldE",25.9,4.3,18.7,35.8,20.4,5,12.6,32.9,1,NA,NA,NA,41.8,5.7,32,54.5,0.875,0.1875,0.1125,0.925,9.18,4.96,0.14,6.09,31,31,35,35,37,37,39,4,11,12,15,15,19,22,0,1,1,1,1,1,1,35,43,48,51,53,57,62,31,15.5,17,12.75,13.4,11.1666666666667,12.7142857142857,4,6,4.33333333333333,4,3.6,4.33333333333333,4.28571428571429,0,0.5,0.333333333333333,0.25,0.2,0.166666666666667,0.142857142857143,35,22,21.6666666666667,17,17.2,15.6666666666667,17.1428571428571,1,2,3,4,5,6,7
"10","OldF",30.9,4.3,23.5,40.5,4.1,5,0.6,26.7,3.5,1.1,2,6.5,37.1,4.5,29.2,47.1,0.811111111111111,0.122222222222222,0.422222222222222,0.888888888888889,6.27,1.83,0.86,5.06,34,34,42,42,51,51,54,1,1,1,1,1,1,1,2,5,6,8,12,15,16,37,40,49,51,64,67,71,34,18,25.3333333333333,19.75,24.2,20.6666666666667,23.1428571428571,1,0.5,0.333333333333333,0.25,0.2,0.166666666666667,0.285714285714286,2,3.5,3.33333333333333,4.5,5,6.33333333333333,6.14285714285714,37,22,29,24.5,29.4,27.1666666666667,29.5714285714286,1,2,3,4,5,6,7
