"","Site","mouse_den","mouse_se","mouse_low","mouse_up","vole_den","vole_se","vole_low","vole_up","chip_den","chip_se","chip_low","chip_up","total_den","total_se","total_low","total_up"
"1","MidC",10.5,2.7,6.4,17.2,6.5,5,1.7,24.7,NA,NA,NA,NA,12.5,3,7.8,20
"2","MidD",4.8,1.7,2.4,9.5,2.5,2.9,0.4,15.3,2,1,0.8,4.9,8.2,2.3,4.8,14
"3","MidE",19.7,4.3,12.9,30,5.7,3.7,1.8,18.3,1.9,0.8,0.9,4,23,4.1,16.3,32.4
"4","MidF",39.4,4.7,31.1,49.8,5.2,3.8,1.4,18.7,0.8,0.5,0.3,2.4,39.3,4.6,31.3,49.4
"9","OldA",10.8,2.6,6.8,17.2,1.3,1,0.4,4.8,1.7,0.8,0.7,4,13.7,2.8,9.2,20.4
"10","OldB",6.2,2,3.3,11.5,8.9,3.3,4.4,17.9,4,1.2,2.2,7.1,18.8,3.3,13.3,26.5
"11","OldC",5.5,2.9,2.1,14.4,NA,NA,NA,NA,2.1,1.5,0.6,7.2,10.4,4.1,4.9,22
"12","OldD",32.3,4.4,24.7,42.2,NA,NA,NA,NA,3.1,1.1,1.6,6,35.5,4.5,27.7,45.4
"13","OldE",25.9,4.3,18.7,35.8,20.4,5,12.6,32.9,NA,NA,NA,NA,41.8,5.7,32,54.5
"14","OldF",30.9,4.3,23.5,40.5,4.1,5,0.6,26.7,3.5,1.1,2,6.5,37.1,4.5,29.2,47.1
"15","OldG",43.8,5.1,34.8,55,NA,NA,NA,NA,1.3,1.1,0.3,5.7,42.5,4.9,34,53.3
"5","YoungC",12.7,3.2,7.8,20.5,NA,NA,NA,NA,5.4,2.1,2.6,11.2,20.7,4.3,13.9,30.9
"6","YoungD",24.3,4,17.7,33.4,9.9,3.7,4.8,20.3,0.4,0.4,0.1,2.2,29.8,4.3,22.4,39.6
"7","YoungE",11.2,2.5,7.3,17.2,9.5,2.8,5.4,16.9,2,1.2,0.7,5.8,20.4,3.4,14.8,28.3
"8","YoungG",13.6,2.8,9.1,20.4,7,2.7,3.3,14.7,NA,NA,NA,NA,18,3.3,12.6,25.6
