Site,Trap,x,y,Set Date,Pull Date
YoungD,A1,0,0,6/18/2017,6/24/2017
YoungD,A3,0,20,6/18/2017,6/24/2017
YoungD,B5,10,40,6/18/2017,6/24/2017
YoungD,B7,10,60,6/18/2017,6/24/2017
YoungD,C6,20,50,6/18/2017,6/24/2017
YoungD,C9,20,80,6/18/2017,6/24/2017
YoungD,D2,30,10,6/18/2017,6/24/2017
YoungD,D6,30,50,6/18/2017,6/24/2017
YoungD,E5,40,40,6/18/2017,6/24/2017
YoungD,E10,40,90,6/18/2017,6/24/2017
YoungD,F1,50,0,6/18/2017,6/24/2017
YoungD,F5,50,40,6/18/2017,6/24/2017
YoungD,G3,60,20,6/18/2017,6/24/2017
YoungD,G7,60,60,6/18/2017,6/24/2017
YoungD,H4,70,30,6/18/2017,6/24/2017
YoungD,H8,70,70,6/18/2017,6/24/2017
YoungD,I2,80,10,6/18/2017,6/24/2017
YoungD,I10,80,90,6/18/2017,6/24/2017
YoungD,J4,90,30,6/18/2017,6/24/2017
YoungD,J9,90,80,6/18/2017,6/24/2017
YoungE,A5,0,40,7/8/2017,7/13/2017
YoungE,A8,0,70,7/8/2017,7/13/2017
YoungE,B4,10,30,7/8/2017,7/13/2017
YoungE,B7,10,60,7/8/2017,7/13/2017
YoungE,C1,20,0,7/8/2017,7/13/2017
YoungE,C9,20,80,7/8/2017,7/13/2017
YoungE,D8,30,70,7/8/2017,7/13/2017
YoungE,D10,30,90,7/8/2017,7/13/2017
YoungE,E3,40,20,7/8/2017,7/13/2017
YoungE,E7,40,60,7/8/2017,7/13/2017
YoungE,F1,50,0,7/8/2017,7/13/2017
YoungE,F4,50,30,7/8/2017,7/13/2017
YoungE,G2,60,10,7/8/2017,7/13/2017
YoungE,G6,60,50,7/8/2017,7/13/2017
YoungE,H3,70,20,7/8/2017,7/13/2017
YoungE,H10,70,90,7/8/2017,7/13/2017
YoungE,I2,80,10,7/8/2017,7/13/2017
YoungE,I4,80,30,7/8/2017,7/13/2017
YoungE,J2,90,10,7/8/2017,7/13/2017
YoungE,J10,90,90,7/8/2017,7/13/2017
YoungG,A2,0,10,7/21/2017,7/27/2017
YoungG,A9,0,80,7/21/2017,7/27/2017
YoungG,B4,10,30,7/21/2017,7/27/2017
YoungG,B6,10,50,7/21/2017,7/27/2017
YoungG,C5,20,40,7/21/2017,7/27/2017
YoungG,C10,20,90,7/21/2017,7/27/2017
YoungG,D8,30,70,7/21/2017,7/27/2017
YoungG,E3,40,20,7/21/2017,7/27/2017
YoungG,E10,40,90,7/21/2017,7/27/2017
YoungG,F5,50,40,7/21/2017,7/27/2017
YoungG,F8,50,70,7/21/2017,7/27/2017
YoungG,G1,60,0,7/21/2017,7/27/2017
YoungG,G7,60,60,7/21/2017,7/27/2017
YoungG,H2,70,10,7/21/2017,7/27/2017
YoungG,H6,70,50,7/21/2017,7/27/2017
YoungG,I1,80,90,7/21/2017,7/27/2017
YoungG,I3,80,20,7/21/2017,7/27/2017
YoungG,J5,90,40,7/21/2017,7/27/2017
YoungG,J9,90,80,7/21/2017,7/27/2017
OldD,A2,0,10,6/25/2017,6/30/2017
OldD,A10,0,90,6/25/2017,6/30/2017
OldD,B1,10,0,6/25/2017,6/30/2017
OldD,C5,20,40,6/25/2017,6/30/2017
OldD,C7,20,60,6/25/2017,6/30/2017
OldD,D6,30,50,6/25/2017,6/30/2017
OldD,D8,30,70,6/25/2017,6/30/2017
OldD,E7,40,60,6/25/2017,6/30/2017
OldD,E10,40,90,6/25/2017,6/30/2017
OldD,F1,50,0,6/25/2017,6/30/2017
OldD,F8,50,70,6/25/2017,6/30/2017
OldD,G5,60,40,6/25/2017,6/30/2017
OldD,G9,60,80,6/25/2017,6/30/2017
OldD,H4,70,30,6/25/2017,6/30/2017
OldD,H8,70,70,6/25/2017,6/30/2017
OldD,I5,80,40,6/25/2017,6/30/2017
OldD,I7,80,60,6/25/2017,6/30/2017
OldD,J4,90,30,6/25/2017,6/30/2017
OldD,J10,90,90,6/25/2017,6/30/2017
OldE,A10,0,90,8/18/2017,8/23/2017
OldE,B3,10,20,8/18/2017,8/23/2017
OldE,B9,10,80,8/18/2017,8/23/2017
OldE,C1,20,0,8/18/2017,8/23/2017
OldE,C5,20,40,8/18/2017,8/23/2017
OldE,D4,30,30,8/18/2017,8/23/2017
OldE,D6,30,50,8/18/2017,8/23/2017
OldE,E10,40,90,8/18/2017,8/23/2017
OldE,F1,50,0,8/18/2017,8/23/2017
OldE,F6,50,50,8/18/2017,8/23/2017
OldE,G3,60,20,8/18/2017,8/23/2017
OldE,G8,60,70,8/18/2017,8/23/2017
OldE,H9,70,80,8/18/2017,8/23/2017
OldE,I2,80,10,8/18/2017,8/23/2017
OldE,I5,80,40,8/18/2017,8/23/2017
OldE,J1,90,0,8/18/2017,8/23/2017
OldF,A1,0,0,8/25/2017,8/31/2017
OldF,B10,10,90,8/25/2017,8/31/2017
OldF,C6,20,50,8/25/2017,8/31/2017
OldF,D4,30,30,8/25/2017,8/31/2017
OldF,D9,30,80,8/25/2017,8/31/2017
OldF,E3,40,20,8/25/2017,8/31/2017
OldF,E5,40,40,8/25/2017,8/31/2017
OldF,F2,50,10,8/25/2017,8/31/2017
OldF,F6,50,50,8/25/2017,8/31/2017
OldF,G7,60,60,8/25/2017,8/31/2017
OldF,G10,60,90,8/25/2017,8/31/2017
OldF,H4,70,30,8/25/2017,8/31/2017
OldF,I3,80,20,8/25/2017,8/31/2017
OldF,I8,80,70,8/25/2017,8/31/2017
OldF,J5,90,40,8/25/2017,8/31/2017
OldG,A2,0,10,9/1/2017,9/7/2017
OldG,B5,10,40,9/1/2017,9/7/2017
OldG,B8,10,70,9/1/2017,9/7/2017
OldG,C6,20,50,9/1/2017,9/7/2017
OldG,D3,30,20,9/1/2017,9/7/2017
OldG,D9,30,80,9/1/2017,9/7/2017
OldG,E5,40,40,9/1/2017,9/7/2017
OldG,E10,40,90,9/1/2017,9/7/2017
OldG,F7,50,60,9/1/2017,9/7/2017
OldG,F9,50,80,9/1/2017,9/7/2017
OldG,G1,60,0,9/1/2017,9/7/2017
OldG,H10,70,90,9/1/2017,9/7/2017
OldG,I4,80,30,9/1/2017,9/7/2017
OldG,I9,80,80,9/1/2017,9/7/2017
OldG,J2,90,10,9/1/2017,9/7/2017
OldG,J8,90,70,9/1/2017,9/7/2017
MidE,A3,0,20,6/13/2017,6/17/2017
MidE,A6,0,50,6/13/2017,6/17/2017
MidE,B1,10,0,6/13/2017,6/17/2017
MidE,B7,10,60,6/13/2017,6/17/2017
MidE,C4,20,30,6/13/2017,6/17/2017
MidE,C6,20,50,6/13/2017,6/17/2017
MidE,D5,30,40,6/13/2017,6/17/2017
MidE,D7,30,60,6/13/2017,6/17/2017
MidE,E3,40,20,6/13/2017,6/17/2017
MidE,E8,40,70,6/13/2017,6/17/2017
MidE,F1,50,0,6/13/2017,6/17/2017
MidE,F10,50,90,6/13/2017,6/17/2017
MidE,G2,60,10,6/13/2017,6/17/2017
MidE,G4,60,30,6/13/2017,6/17/2017
MidE,H5,70,40,6/13/2017,6/17/2017
MidE,H7,70,60,6/13/2017,6/17/2017
MidE,I2,80,10,6/13/2017,6/17/2017
